x,y,val
-1.55,-1.7,-0.00827312
-1.55,-1.65,-0.00962776
-1.55,-1.6,-0.0109824
-1.55,-1.55,-0.0132396
-1.55,-1.5,-0.0154968
-1.55,-1.45,-0.017754
-1.55,-1.4,-0.0200112
-1.55,-1.35,-0.0234233
-1.55,-1.3,-0.0268353
-1.55,-1.25,-0.0302474
-1.55,-1.2,-0.0336594
-1.55,-1.15,-0.0383104
-1.55,-1.1,-0.0429613
-1.55,-1.05,-0.0476123
-1.55,-1,-0.0522632
-1.55,-0.95,-0.057925
-1.55,-0.9,-0.0635868
-1.55,-0.85,-0.0692486
-1.55,-0.8,-0.0749104
-1.55,-0.75,-0.0809618
-1.55,-0.7,-0.0870133
-1.55,-0.65,-0.0930647
-1.55,-0.6,-0.0991162
-1.55,-0.55,-0.104602
-1.55,-0.5,-0.110088
-1.55,-0.45,-0.115575
-1.55,-0.4,-0.121061
-1.55,-0.35,-0.124919
-1.55,-0.3,-0.128778
-1.55,-0.25,-0.132637
-1.55,-0.2,-0.136496
-1.55,-0.15,-0.137888
-1.55,-0.1,-0.139281
-1.55,-0.05,-0.140674
-1.55,1.20737e-15,-0.142066
-1.55,0.05,-0.140674
-1.55,0.1,-0.139281
-1.55,0.15,-0.137888
-1.55,0.2,-0.136496
-1.55,0.25,-0.132637
-1.55,0.3,-0.128778
-1.55,0.35,-0.124919
-1.55,0.4,-0.121061
-1.55,0.45,-0.115575
-1.55,0.5,-0.110088
-1.55,0.55,-0.104602
-1.55,0.6,-0.0991162
-1.55,0.65,-0.0930647
-1.55,0.7,-0.0870133
-1.55,0.75,-0.0809618
-1.55,0.8,-0.0749104
-1.55,0.85,-0.0692486
-1.55,0.9,-0.0635868
-1.55,0.95,-0.057925
-1.55,1,-0.0522632
-1.55,1.05,-0.0476123
-1.55,1.1,-0.0429613
-1.55,1.15,-0.0383104
-1.55,1.2,-0.0336594
-1.55,1.25,-0.0302474
-1.55,1.3,-0.0268353
-1.55,1.35,-0.0234233
-1.55,1.4,-0.0200112
-1.55,1.45,-0.017754
-1.55,1.5,-0.0154968
-1.55,1.55,-0.0132396
-1.55,1.6,-0.0109824
-1.55,1.65,-0.00962776
-1.55,1.7,-0.00827312
-1.55,1.75,-0.00691849
-1.55,1.8,-0.00556386
-1.55,1.85,-0.00482341
-1.55,1.9,-0.00408295
-1.55,1.95,-0.00334249
-1.5,-2,-0.00355475
-1.5,-1.95,-0.00377489
-1.5,-1.9,-0.00461114
-1.5,-1.85,-0.00544739
-1.5,-1.8,-0.00628364
-1.5,-1.75,-0.00781351
-1.5,-1.7,-0.00934339
-1.5,-1.65,-0.0108733
-1.5,-1.6,-0.0124031
-1.5,-1.55,-0.0149523
-1.5,-1.5,-0.0175016
-1.5,-1.45,-0.0200508
-1.5,-1.4,-0.0226
-1.5,-1.35,-0.0264534
-1.5,-1.3,-0.0303069
-1.5,-1.25,-0.0341603
-1.5,-1.2,-0.0380138
-1.5,-1.15,-0.0432664
-1.5,-1.1,-0.0485191
-1.5,-1.05,-0.0537717
-1.5,-1,-0.0590243
-1.5,-0.95,-0.0654185
-1.5,-0.9,-0.0718128
-1.5,-0.85,-0.078207
-1.5,-0.8,-0.0846013
-1.5,-0.75,-0.0914356
-1.5,-0.7,-0.0982699
-1.5,-0.65,-0.105104
-1.5,-0.6,-0.111938
-1.5,-0.55,-0.118134
-1.5,-0.5,-0.12433
-1.5,-0.45,-0.130526
-1.5,-0.4,-0.136722
-1.5,-0.35,-0.14108
-1.5,-0.3,-0.145438
-1.5,-0.25,-0.149796
-1.5,-0.2,-0.154154
-1.5,-0.15,-0.155726
-1.5,-0.1,-0.157299
-1.5,-0.05,-0.158872
-1.5,1.20737e-15,-0.160445
-1.5,0.05,-0.158872
-1.5,0.1,-0.157299
-1.5,0.15,-0.155726
-1.5,0.2,-0.154154
-1.5,0.25,-0.149796
-1.5,0.3,-0.145438
-1.5,0.35,-0.14108
-1.5,0.4,-0.136722
-1.5,0.45,-0.130526
-1.5,0.5,-0.12433
-1.5,0.55,-0.118134
-1.5,0.6,-0.111938
-1.5,0.65,-0.105104
-1.5,0.7,-0.0982699
-1.5,0.75,-0.0914356
-1.5,0.8,-0.0846013
-1.5,0.85,-0.078207
-1.5,0.9,-0.0718128
-1.5,0.95,-0.0654185
-1.5,1,-0.0590243
-1.5,1.05,-0.0537717
-1.5,1.1,-0.0485191
-1.5,1.15,-0.0432664
-1.5,1.2,-0.0380138
-1.5,1.25,-0.0341603
